Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos,Team
David Raya,ESP,GK,28.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,Arsenal
William Saliba,FRA,DF,23.0,35.0,35.0,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,,Arsenal
Declan Rice,ENG,MF,25.0,35.0,33.0,2825.0,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,,Arsenal
Thomas Partey,GHA,MF,31.0,35.0,31.0,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,DF,Arsenal
Leandro Trossard,BEL,FW,29.0,38.0,28.0,2546.0,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,,Arsenal
Gabriel Magalhães,BRA,DF,26.0,28.0,28.0,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,,Arsenal
Jurriën Timber,NED,DF,23.0,30.0,27.0,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,,Arsenal
Martin Ødegaard,NOR,MF,25.0,30.0,26.0,2325.0,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,,Arsenal
Gabriel Martinelli,BRA,FW,23.0,33.0,25.0,2290.0,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,MF,Arsenal
Kai Havertz,GER,FW,25.0,23.0,21.0,1875.0,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,MF,Arsenal
Bukayo Saka,ENG,FW,22.0,25.0,20.0,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,MF,Arsenal
Mikel Merino,ESP,MF,28.0,28.0,17.0,1586.0,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,FW,Arsenal
Myles Lewis-Skelly,ENG,DF,17.0,23.0,15.0,1369.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,,Arsenal
Ben White,ENG,DF,26.0,17.0,13.0,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,Arsenal
Riccardo Calafiori,ITA,DF,22.0,19.0,11.0,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,,Arsenal
Ethan Nwaneri,ENG,FW,17.0,26.0,11.0,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,MF,Arsenal
Jakub Kiwior,POL,DF,24.0,17.0,10.0,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,Arsenal
Jorginho,ITA,MF,32.0,15.0,9.0,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,Arsenal
Raheem Sterling,ENG,FW,29.0,17.0,7.0,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,MF,Arsenal
Gabriel Jesus,BRA,FW,27.0,17.0,6.0,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,,Arsenal
Oleksandr Zinchenko,UKR,DF,27.0,15.0,5.0,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,MF,Arsenal
Kieran Tierney,SCO,DF,27.0,13.0,2.0,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,FW,Arsenal
Nathan Butler-Oyedeji,ENG,FW,21.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Takehiro Tomiyasu,JPN,DF,25.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Reiss Nelson,ENG,FW,24.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Brayden Clarke,WAL,DF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Jimi Gower,ENG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Ayden Heaven,ENG,DF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Jack Henry-Francis,IRL,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Ismeal Kabia,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Maldini Kacurri,ALB,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Neto,BRA,GK,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Josh Nichols,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Eddie Nketiah,ENG,FW,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Salah Oulad M'Hand,NED,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Jack Porter,ENG,GK,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Aaron Ramsdale,ENG,GK,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Tommy Setford,ENG,GK,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal
Emiliano Martínez,ARG,GK,31.0,37.0,37.0,3194.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,Aston Villa
Morgan Rogers,ENG,FW,22.0,37.0,37.0,3114.0,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,MF,Aston Villa
Youri Tielemans,BEL,MF,27.0,36.0,35.0,3026.0,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,,Aston Villa
Ezri Konsa,ENG,DF,26.0,34.0,33.0,2936.0,32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,Aston Villa
Ollie Watkins,ENG,FW,28.0,38.0,31.0,2598.0,28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,,Aston Villa
Lucas Digne,FRA,DF,31.0,32.0,28.0,2351.0,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,,Aston Villa
John McGinn,SCO,MF,29.0,34.0,27.0,2223.0,24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,FW,Aston Villa
Matty Cash,POL,DF,26.0,27.0,24.0,2070.0,23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,,Aston Villa
Pau Torres,ESP,DF,27.0,24.0,23.0,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Aston Villa
Boubacar Kamara,FRA,MF,24.0,26.0,20.0,1726.0,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,Aston Villa
Amadou Onana,BEL,MF,22.0,26.0,20.0,1617.0,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,,Aston Villa
Jacob Ramsey,ENG,FW,23.0,29.0,19.0,1623.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,MF,Aston Villa
Leon Bailey,JAM,FW,26.0,24.0,14.0,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,MF,Aston Villa
Tyrone Mings,ENG,DF,31.0,14.0,12.0,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Aston Villa
Ian Maatsen,NED,DF,22.0,29.0,10.0,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,,Aston Villa
Marco Asensio,ESP,MF,28.0,13.0,9.0,743.0,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,,Aston Villa
Diego Carlos,BRA,DF,31.0,10.0,8.0,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,Aston Villa
Axel Disasi,FRA,DF,26.0,7.0,5.0,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,Aston Villa
Lamare Bogarde,NED,DF,20.0,8.0,5.0,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MF,Aston Villa
Andrés García,ESP,DF,21.0,7.0,5.0,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Aston Villa
Jáder Durán,COL,FW,20.0,20.0,4.0,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,,Aston Villa
Marcus Rashford,ENG,FW,26.0,10.0,4.0,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,,Aston Villa
Ross Barkley,ENG,MF,30.0,20.0,3.0,581.0,6.5,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,,Aston Villa
Jaden Philogene Bidace,ENG,FW,22.0,11.0,2.0,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,MF,Aston Villa
Donyell Malen,NED,FW,25.0,14.0,2.0,305.0,3.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,Aston Villa
Robin Olsen,SWE,GK,34.0,4.0,1.0,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Kosta Nedeljković,SRB,DF,18.0,5.0,0.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Emi Buendía,ARG,MF,27.0,12.0,0.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FW,Aston Villa
Benjamin Broggio,ENG,FW,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Joe Gauci,AUS,GK,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Jamaldeen Jimoh,ENG,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
Sil Swinkels,NED,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Aston Villa
