Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Dara O'Shea,IRL,DF,25.0,35.0,35.0,3122.0,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,
Leif Davis,ENG,DF,24.0,33.0,32.0,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,
Liam Delap,ENG,FW,21.0,37.0,32.0,2593.0,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,
Sam Morsy,EGY,MF,32.0,33.0,31.0,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,
Omari Hutchinson,ENG,MF,20.0,31.0,30.0,2583.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,FW
Jacob Greaves,ENG,DF,23.0,25.0,25.0,2205.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,
Jens Cajuste,SWE,MF,24.0,30.0,25.0,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,
Axel Tuanzebe,COD,DF,26.0,22.0,20.0,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,
Arijanet Muric,KVX,GK,25.0,18.0,18.0,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Cameron Burgess,AUS,DF,28.0,18.0,16.0,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Ben Johnson,ENG,DF,24.0,23.0,14.0,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,FW
Kalvin Phillips,ENG,MF,28.0,19.0,14.0,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,
Alex Palmer,ENG,GK,27.0,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Sammie Szmodics,IRL,FW,28.0,20.0,13.0,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,MF
Luke Woolfenden,ENG,DF,25.0,15.0,12.0,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
,,Performance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack Clarke,ENG,FW,23.0,32.0,12.0,1181.0,13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,MF
Wes Burns,WAL,FW,29.0,18.0,12.0,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DF
Julio Enciso,PAR,MF,20.0,13.0,12.0,869.0,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,FW
Conor Chaplin,ENG,MF,27.0,22.0,10.0,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,FW
Nathan Broadhead,WAL,MF,26.0,18.0,7.0,702.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,FW
Christian Walton,ENG,GK,28.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
George Hirst,SCO,FW,25.0,26.0,5.0,661.0,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,
Jaden Philogene Bidace,ENG,FW,22.0,10.0,5.0,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,DF
Jack Taylor,IRL,MF,26.0,32.0,4.0,860.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,
Harry Clarke,ENG,DF,23.0,7.0,4.0,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,
Conor Townsend,ENG,DF,31.0,6.0,3.0,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Chiedozie Ogbene,IRL,FW,27.0,5.0,3.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Massimo Luongo,AUS,MF,31.0,11.0,2.0,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ben Godfrey,ENG,DF,26.0,3.0,2.0,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Ali Al Hamadi,IRQ,FW,22.0,11.0,0.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,
Marcus Harness,ENG,MF,28.0,2.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
George Edmundson,ENG,DF,26.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Somto Boniface,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cieran Slicker,SCO,GK,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tom Taylor,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
