Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Secondary_Pos
Bruno Guimarães,BRA,MF,26,38,38,3271.0,36.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,
Dan Burn,ENG,DF,32,37,37,3330.0,37.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,
Alexander Isak,SWE,FW,24,34,34,2756.0,30.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0,
Fabian Schär,SUI,DF,32,34,33,2934.0,32.6,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,
Valentino Livramento,ENG,DF,21,37,32,2840.0,31.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Jacob Murphy,ENG,FW,29,35,31,2360.0,26.2,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0,
Joelinton,BRA,MF,27,29,29,2393.0,26.6,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0,FW
Sandro Tonali,ITA,MF,24,36,28,2630.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,
Nick Pope,ENG,GK,32,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Anthony Gordon,ENG,FW,23,34,28,2434.0,27.0,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,MF
Lewis Hall,ENG,DF,19,27,24,2189.0,24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,
Harvey Barnes,ENG,FW,26,33,17,1755.0,19.5,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0,
Kieran Trippier,ENG,DF,33,25,14,1309.0,14.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,
Joe Willock,ENG,MF,24,32,11,1086.0,12.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,FW
Martin Dúbravka,SVK,GK,35,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sean Longstaff,ENG,MF,26,25,8,798.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Sven Botman,NED,DF,24,8,6,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Lloyd Kelly,ENG,DF,25,10,4,303.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,
Callum Wilson,ENG,FW,32,18,2,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Emil Krafth,SWE,DF,29,12,2,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
Lewis Miley,ENG,MF,18,14,1,313.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
Miguel Almirón,PAR,FW,30,9,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
William Osula,DEN,FW,20,14,0,134.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
Matt Targett,ENG,DF,28,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jamaal Lascelles,ENG,DF,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Murphy,IRL,DF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sean Neave,ENG,FW,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John Ruddy,ENG,GK,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Leo Shahar,ENG,DF,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Odysseas Vlachodimos,GRE,GK,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
